created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2020-07-08 10:59:25 -03,2094,"30.55
","1011.80
","66.00
","0.00
","90
",,,,
2020-07-08 10:59:57 -03,2095,"30.56
","1011.78
","66.60
","0.00
","0
",,,,
2020-07-08 11:00:28 -03,2096,"30.58
","1011.85
","66.80
","0.00
","180
",,,,
2020-07-08 11:01:00 -03,2097,"30.62
","1011.82
","67.10
","0.00
","270
",,,,
2020-07-08 11:01:31 -03,2098,"30.66
","1011.80
","67.30
","0.00
","135
",,,,
2020-07-08 11:02:02 -03,2099,"30.68
","1011.84
","67.10
","0.00
","135
",,,,
2020-07-08 11:02:34 -03,2100,"30.64
","1011.86
","66.90
","0.00
","135
",,,,
2020-07-08 11:03:05 -03,2101,"30.65
","1011.82
","66.50
","0.00
","90
",,,,
2020-07-08 11:03:37 -03,2102,"30.63
","1011.83
","66.70
","0.00
","135
",,,,
2020-07-08 11:04:08 -03,2103,"30.58
","1011.83
","66.90
","0.00
","90
",,,,
2020-07-08 11:04:39 -03,2104,"30.54
","1011.82
","66.70
","0.00
","135
",,,,
2020-07-08 11:05:11 -03,2105,"30.50
","1011.82
","67.00
","0.00
","45
",,,,
2020-07-08 11:05:42 -03,2106,"30.52
","1011.82
","66.70
","0.00
","135
",,,,
2020-07-08 11:06:13 -03,2107,"30.55
","1011.80
","66.80
","0.00
","135
",,,,
2020-07-08 11:06:45 -03,2108,"30.60
","1011.77
","66.90
","0.00
","270
",,,,
2020-07-08 11:07:16 -03,2109,"30.64
","1011.85
","66.90
","0.00
","90
",,,,
2020-07-08 11:07:48 -03,2110,"30.69
","1011.87
","67.10
","0.00
","90
",,,,
2020-07-08 11:08:19 -03,2111,"30.74
","1011.76
","67.10
","0.00
","0
",,,,
2020-07-08 11:08:50 -03,2112,"30.73
","1011.81
","66.50
","0.00
","0
",,,,
2020-07-08 11:09:22 -03,2113,"30.68
","1011.80
","66.30
","0.00
","90
",,,,
2020-07-08 11:09:53 -03,2114,"30.66
","1011.79
","65.00
","0.00
","135
",,,,
2020-07-08 11:10:24 -03,2115,"30.67
","1011.79
","65.70
","0.00
","0
",,,,
2020-07-08 11:10:56 -03,2116,"30.64
","1011.81
","65.70
","0.00
","225
",,,,
2020-07-08 11:11:27 -03,2117,"30.62
","1011.77
","65.70
","0.00
","90
",,,,
2020-07-08 11:11:59 -03,2118,"30.63
","1011.76
","66.10
","0.00
","135
",,,,
2020-07-08 11:12:30 -03,2119,"30.62
","1011.77
","66.30
","0.00
","225
",,,,
2020-07-08 11:13:01 -03,2120,"30.58
","1011.72
","66.60
","0.00
","315
",,,,
2020-07-08 11:13:33 -03,2121,"30.53
","1011.74
","66.10
","0.00
","135
",,,,
2020-07-08 11:14:04 -03,2122,"30.50
","1011.79
","66.40
","0.00
","90
",,,,
2020-07-08 11:14:35 -03,2123,"30.51
","1011.79
","66.20
","0.00
","90
",,,,
2020-07-08 11:15:07 -03,2124,"30.47
","1011.79
","66.50
","0.00
","135
",,,,
2020-07-08 11:15:38 -03,2125,"30.47
","1011.78
","66.50
","0.00
","180
",,,,
2020-07-08 11:16:09 -03,2126,"30.44
","1011.75
","67.00
","0.00
","135
",,,,
2020-07-08 11:16:41 -03,2127,"30.43
","1011.75
","66.50
","0.00
","45
",,,,
2020-07-08 11:17:12 -03,2128,"30.48
","1011.80
","66.20
","0.00
","135
",,,,
2020-07-08 11:17:44 -03,2129,"30.47
","1011.75
","66.50
","0.00
","90
",,,,
2020-07-08 11:18:15 -03,2130,"30.51
","1011.73
","66.00
","0.00
","0
",,,,
2020-07-08 11:18:46 -03,2131,"30.53
","1011.73
","66.60
","0.00
","90
",,,,
2020-07-08 11:19:18 -03,2132,"30.52
","1011.72
","66.50
","0.00
","180
",,,,
2020-07-08 11:19:49 -03,2133,"30.50
","1011.72
","66.50
","0.00
","135
",,,,
2020-07-08 11:20:20 -03,2134,"30.48
","1011.69
","66.50
","0.00
","135
",,,,
2020-07-08 11:20:52 -03,2135,"30.41
","1011.75
","66.20
","0.00
","135
",,,,
2020-07-08 11:21:23 -03,2136,"30.43
","1011.76
","66.20
","0.00
","135
",,,,
2020-07-08 11:21:54 -03,2137,"30.41
","1011.74
","66.60
","0.00
","180
",,,,
2020-07-08 11:22:26 -03,2138,"30.42
","1011.74
","66.60
","0.00
","90
",,,,
2020-07-08 11:22:57 -03,2139,"30.44
","1011.79
","67.00
","0.00
","135
",,,,
2020-07-08 11:23:29 -03,2140,"30.38
","1011.71
","66.80
","0.00
","135
",,,,
2020-07-08 11:24:00 -03,2141,"30.36
","1011.77
","66.40
","0.00
","135
",,,,
2020-07-08 11:24:31 -03,2142,"30.32
","1011.78
","66.70
","0.00
","180
",,,,
2020-07-08 11:25:03 -03,2143,"30.32
","1011.76
","66.70
","0.00
","90
",,,,
2020-07-08 11:25:34 -03,2144,"30.32
","1011.82
","67.10
","0.00
","180
",,,,
2020-07-08 11:26:05 -03,2145,"30.29
","1011.80
","67.10
","0.00
","135
",,,,
2020-07-08 11:26:37 -03,2146,"30.27
","1011.79
","67.40
","0.00
","135
",,,,
2020-07-08 11:27:08 -03,2147,"30.26
","1011.81
","67.80
","0.00
","135
",,,,
2020-07-08 11:27:39 -03,2148,"30.26
","1011.81
","67.10
","0.00
","180
",,,,
2020-07-08 11:28:11 -03,2149,"30.21
","1011.75
","67.20
","0.00
","180
",,,,
2020-07-08 11:28:42 -03,2150,"30.20
","1011.77
","66.70
","0.00
","90
",,,,
2020-07-08 11:29:14 -03,2151,"30.25
","1011.75
","67.00
","0.00
","180
",,,,
2020-07-08 11:29:45 -03,2152,"30.25
","1011.77
","67.30
","0.00
","90
",,,,
2020-07-08 11:30:16 -03,2153,"30.23
","1011.73
","66.80
","0.00
","90
",,,,
2020-07-08 11:30:48 -03,2154,"30.32
","1011.69
","67.00
","0.00
","135
",,,,
2020-07-08 11:31:19 -03,2155,"30.36
","1011.67
","67.80
","0.00
","270
",,,,
2020-07-08 11:31:50 -03,2156,"30.34
","1011.65
","67.80
","0.00
","135
",,,,
2020-07-08 11:32:22 -03,2157,"30.37
","1011.65
","67.60
","0.00
","90
",,,,
2020-07-08 11:32:53 -03,2158,"30.43
","1011.67
","67.90
","0.00
","90
",,,,
2020-07-08 11:33:25 -03,2159,"30.50
","1011.64
","68.20
","0.00
","90
",,,,
2020-07-08 11:33:56 -03,2160,"30.43
","1011.59
","68.50
","0.00
","135
",,,,
2020-07-08 11:34:27 -03,2161,"30.39
","1011.63
","67.80
","0.00
","135
",,,,
2020-07-08 11:34:59 -03,2162,"30.38
","1011.69
","67.50
","0.00
","180
",,,,
2020-07-08 11:35:30 -03,2163,"30.42
","1011.64
","67.70
","0.00
","90
",,,,
2020-07-08 11:36:01 -03,2164,"30.47
","1011.64
","68.40
","0.00
","135
",,,,
2020-07-08 11:36:33 -03,2165,"30.45
","1011.63
","68.00
","0.00
","90
",,,,
2020-07-08 11:37:04 -03,2166,"30.44
","1011.65
","68.10
","0.00
","135
",,,,
2020-07-08 11:37:36 -03,2167,"30.42
","1011.68
","68.30
","0.00
","180
",,,,
2020-07-08 11:38:07 -03,2168,"30.42
","1011.62
","68.30
","0.00
","135
",,,,
2020-07-08 11:38:38 -03,2169,"30.40
","1011.59
","68.10
","0.00
","180
",,,,
2020-07-08 11:39:10 -03,2170,"30.33
","1011.58
","68.70
","0.00
","135
",,,,
2020-07-08 11:39:41 -03,2171,"30.33
","1011.56
","68.70
","0.00
","180
",,,,
2020-07-08 11:40:12 -03,2172,"30.30
","1011.60
","69.20
","0.00
","90
",,,,
2020-07-08 11:40:44 -03,2173,"30.29
","1011.59
","68.40
","0.00
","90
",,,,
2020-07-08 11:41:15 -03,2174,"30.29
","1011.62
","68.20
","0.00
","135
",,,,
2020-07-08 11:41:47 -03,2175,"30.30
","1011.58
","68.30
","0.00
","135
",,,,
2020-07-08 11:42:18 -03,2176,"30.31
","1011.58
","68.30
","0.00
","135
",,,,
2020-07-08 11:42:49 -03,2177,"30.26
","1011.59
","68.00
","0.00
","90
",,,,
2020-07-08 11:43:21 -03,2178,"30.29
","1011.58
","67.10
","0.00
","90
",,,,
2020-07-08 11:43:52 -03,2179,"30.32
","1011.57
","67.20
","0.00
","135
",,,,
2020-07-08 11:44:23 -03,2180,"30.40
","1011.55
","67.50
","0.00
","135
",,,,
2020-07-08 11:44:55 -03,2181,"30.43
","1011.59
","68.20
","0.00
","90
",,,,
2020-07-08 11:45:26 -03,2182,"30.40
","1011.52
","67.80
","0.00
","90
",,,,
2020-07-08 11:45:58 -03,2183,"30.37
","1011.50
","66.90
","0.00
","90
",,,,
2020-07-08 11:46:29 -03,2184,"30.40
","1011.50
","67.00
","0.00
","90
",,,,
2020-07-08 11:47:00 -03,2185,"30.46
","1011.50
","67.30
","0.00
","135
",,,,
2020-07-08 11:47:32 -03,2186,"30.51
","1011.51
","67.30
","0.00
","90
",,,,
2020-07-08 11:48:03 -03,2187,"30.56
","1011.48
","67.70
","0.00
","135
",,,,
2020-07-08 11:48:35 -03,2188,"30.62
","1011.48
","67.80
","0.00
","90
",,,,
2020-07-08 11:49:06 -03,2189,"30.64
","1011.50
","68.10
","0.00
","135
",,,,
2020-07-08 11:49:37 -03,2190,"30.66
","1011.48
","67.80
","0.00
","90
",,,,
2020-07-08 11:50:09 -03,2191,"30.66
","1011.45
","67.90
","0.00
","135
",,,,
2020-07-08 11:50:40 -03,2192,"30.64
","1011.50
","68.20
","0.00
","90
",,,,
2020-07-08 11:51:11 -03,2193,"30.60
","1011.46
","67.80
","0.00
","90
",,,,
2020-07-08 11:51:43 -03,2194,"30.57
","1011.46
","67.40
","0.00
","90
",,,,
2020-07-08 11:52:14 -03,2195,"30.55
","1011.45
","67.30
","0.00
","90
",,,,
2020-07-08 11:52:46 -03,2196,"30.49
","1011.38
","67.30
","0.00
","90
",,,,
2020-07-08 11:53:17 -03,2197,"30.49
","1011.50
","66.80
","0.00
","90
",,,,
2020-07-08 11:53:48 -03,2198,"30.42
","1011.42
","67.30
","0.00
","45
",,,,
2020-07-08 11:54:20 -03,2199,"30.45
","1011.47
","67.40
","0.00
","90
",,,,
2020-07-08 11:54:51 -03,2200,"30.44
","1011.44
","68.10
","0.00
","90
",,,,
2020-07-08 11:55:22 -03,2201,"30.45
","1011.48
","68.00
","0.00
","135
",,,,
2020-07-08 11:55:54 -03,2202,"30.44
","1011.47
","68.40
","0.00
","90
",,,,
2020-07-08 11:56:25 -03,2203,"30.44
","1011.49
","69.30
","0.00
","90
",,,,
2020-07-08 11:56:56 -03,2204,"30.43
","1011.46
","69.30
","0.00
","135
",,,,
2020-07-08 11:57:28 -03,2205,"30.44
","1011.49
","68.80
","0.00
","135
",,,,
2020-07-08 11:57:59 -03,2206,"30.43
","1011.43
","68.90
","0.00
","45
",,,,
2020-07-08 11:58:31 -03,2207,"30.46
","1011.46
","68.60
","0.00
","90
",,,,
2020-07-08 11:59:02 -03,2208,"30.46
","1011.45
","68.90
","0.00
","135
",,,,
2020-07-08 11:59:33 -03,2209,"30.46
","1011.38
","68.90
","0.00
","90
",,,,
2020-07-08 12:00:05 -03,2210,"30.38
","1011.38
","69.20
","0.00
","90
",,,,
2020-07-08 12:00:36 -03,2211,"30.39
","1011.45
","68.90
","0.00
","180
",,,,
2020-07-08 12:01:07 -03,2212,"30.40
","1011.46
","69.10
","0.00
","90
",,,,
2020-07-08 12:01:39 -03,2213,"30.32
","1011.38
","69.10
","0.00
","90
",,,,
2020-07-08 12:02:10 -03,2214,"30.22
","1011.37
","68.50
","0.00
","90
",,,,
2020-07-08 12:02:42 -03,2215,"30.24
","1011.38
","68.60
","0.00
","90
",,,,
2020-07-08 12:03:13 -03,2216,"30.27
","1011.34
","68.90
","0.00
","90
",,,,
2020-07-08 12:03:44 -03,2217,"30.32
","1011.33
","69.20
","0.00
","180
",,,,
2020-07-08 12:04:16 -03,2218,"30.33
","1011.33
","69.50
","0.00
","180
",,,,
2020-07-08 12:04:47 -03,2219,"30.33
","1011.32
","69.40
","0.00
","90
",,,,
2020-07-08 12:05:18 -03,2220,"30.28
","1011.32
","69.40
","0.00
","90
",,,,
2020-07-08 12:05:50 -03,2221,"30.31
","1011.31
","69.20
","0.00
","90
",,,,
2020-07-08 12:06:21 -03,2222,"30.32
","1011.31
","69.60
","0.00
","90
",,,,
2020-07-08 12:06:53 -03,2223,"30.35
","1011.26
","69.70
","0.00
","90
",,,,
2020-07-08 12:07:24 -03,2224,"30.39
","1011.31
","69.90
","0.00
","90
",,,,
2020-07-08 12:07:55 -03,2225,"30.40
","1011.29
","70.10
","0.00
","90
",,,,
2020-07-08 12:08:27 -03,2226,"30.40
","1011.21
","69.60
","0.00
","90
",,,,
2020-07-08 12:08:58 -03,2227,"30.44
","1011.23
","69.60
","0.00
","90
",,,,
2020-07-08 12:09:29 -03,2228,"30.46
","1011.23
","69.80
","0.00
","135
",,,,
2020-07-08 12:10:01 -03,2229,"30.47
","1011.24
","69.20
","0.00
","90
",,,,
2020-07-08 12:10:32 -03,2230,"30.46
","1011.24
","69.00
","0.00
","135
",,,,
2020-07-08 12:11:04 -03,2231,"30.49
","1011.22
","68.70
","0.00
","135
",,,,
2020-07-08 12:11:35 -03,2232,"30.53
","1011.22
","68.80
","0.00
","135
",,,,
2020-07-08 12:12:06 -03,2233,"30.54
","1011.19
","68.70
","0.00
","90
",,,,
2020-07-08 12:12:38 -03,2234,"30.56
","1011.24
","68.70
","0.00
","90
",,,,
2020-07-08 12:13:09 -03,2235,"30.61
","1011.23
","69.00
","0.00
","90
",,,,
2020-07-08 12:13:40 -03,2236,"30.62
","1011.21
","68.90
","0.00
","90
",,,,
2020-07-08 12:14:12 -03,2237,"30.58
","1011.27
","68.70
","0.00
","135
",,,,
2020-07-08 12:14:43 -03,2238,"30.60
","1011.26
","67.50
","0.00
","90
",,,,
2020-07-08 12:15:15 -03,2239,"30.62
","1011.24
","67.30
","0.00
","90
",,,,
2020-07-08 12:15:46 -03,2240,"30.62
","1011.24
","67.30
","0.00
","90
",,,,
2020-07-08 12:16:17 -03,2241,"30.58
","1011.32
","67.40
","0.00
","90
",,,,
2020-07-08 12:16:49 -03,2242,"30.54
","1011.27
","67.90
","0.00
","90
",,,,
2020-07-08 12:17:20 -03,2243,"30.52
","1011.23
","68.70
","0.00
","135
",,,,
2020-07-08 12:17:52 -03,2244,"30.50
","1011.24
","68.80
","0.00
","90
",,,,
2020-07-08 12:18:23 -03,2245,"30.46
","1011.23
","68.90
","0.00
","90
",,,,
2020-07-08 12:18:54 -03,2246,"30.49
","1011.20
","68.70
","0.00
","90
",,,,
2020-07-08 12:19:26 -03,2247,"30.42
","1011.24
","68.40
","0.00
","135
",,,,
2020-07-08 12:19:57 -03,2248,"30.34
","1011.27
","68.50
","0.74
","90
",,,,
2020-07-08 12:20:28 -03,2249,"30.32
","1011.17
","68.60
","0.00
","180
",,,,
2020-07-08 12:21:00 -03,2250,"30.27
","1011.16
","69.10
","0.00
","135
",,,,
2020-07-08 12:21:31 -03,2251,"30.26
","1011.14
","69.20
","0.00
","90
",,,,
2020-07-08 12:22:03 -03,2252,"30.30
","1011.15
","69.70
","0.00
","135
",,,,
2020-07-08 12:22:34 -03,2253,"30.31
","1011.15
","70.10
","0.00
","90
",,,,
2020-07-08 12:23:05 -03,2254,"30.34
","1011.16
","70.10
","0.00
","90
",,,,
2020-07-08 12:23:37 -03,2255,"30.39
","1011.21
","70.50
","0.00
","90
",,,,
2020-07-08 12:24:08 -03,2256,"30.37
","1011.20
","70.60
","0.00
","90
",,,,
2020-07-08 12:24:39 -03,2257,"30.22
","1011.17
","70.50
","0.00
","90
",,,,
2020-07-08 12:25:11 -03,2258,"30.20
","1011.25
","69.40
","0.00
","90
",,,,
2020-07-08 12:25:42 -03,2259,"30.11
","1011.17
","70.00
","0.00
","90
",,,,
2020-07-08 12:26:14 -03,2260,"30.10
","1011.21
","69.50
","0.00
","135
",,,,
2020-07-08 12:26:45 -03,2261,"30.10
","1011.18
","69.90
","0.00
","135
",,,,
2020-07-08 12:27:16 -03,2262,"30.10
","1011.16
","70.10
","0.00
","90
",,,,
2020-07-08 12:27:48 -03,2263,"30.18
","1011.17
","70.40
","0.00
","90
",,,,
2020-07-08 12:28:19 -03,2264,"30.20
","1011.13
","70.70
","0.00
","135
",,,,
2020-07-08 12:28:51 -03,2265,"30.23
","1011.12
","70.80
","0.00
","90
",,,,
2020-07-08 12:29:22 -03,2266,"30.25
","1011.17
","71.20
","0.00
","135
",,,,
2020-07-08 12:29:53 -03,2267,"30.29
","1011.15
","71.40
","0.00
","225
",,,,
2020-07-08 12:30:25 -03,2268,"30.30
","1011.08
","71.70
","0.00
","135
",,,,
2020-07-08 12:30:56 -03,2269,"30.22
","1011.11
","70.80
","0.00
","90
",,,,
2020-07-08 12:31:27 -03,2270,"30.25
","1011.07
","70.20
","0.00
","135
",,,,
2020-07-08 12:31:59 -03,2271,"30.29
","1011.10
","70.50
","0.00
","90
",,,,
2020-07-08 13:08:42 -03,2272,"30.49
","1010.76
","71.00
","0.00
","90
",,,,
2020-07-08 13:09:13 -03,2273,"30.39
","1010.77
","69.90
","0.00
","135
",,,,
2020-07-08 13:09:45 -03,2274,"30.39
","1010.72
","69.30
","0.00
","90
",,,,
2020-07-08 13:10:16 -03,2275,"30.39
","1010.70
","69.70
","0.00
","90
",,,,
2020-07-08 13:10:47 -03,2276,"30.42
","1010.67
","70.10
","0.00
","135
",,,,
2020-07-08 13:11:19 -03,2277,"30.39
","1010.68
","70.40
","0.00
","90
",,,,
2020-07-08 13:11:50 -03,2278,"30.38
","1010.74
","70.00
","0.00
","90
",,,,
2020-07-08 13:12:22 -03,2279,"30.40
","1010.68
","70.50
","0.00
","90
",,,,
2020-07-08 13:12:53 -03,2280,"30.39
","1010.67
","70.80
","0.00
","90
",,,,
2020-07-08 13:13:24 -03,2281,"30.40
","1010.73
","70.20
","0.00
","90
",,,,
2020-07-08 13:13:56 -03,2282,"30.38
","1010.67
","70.50
","0.00
","90
",,,,
2020-07-08 13:14:27 -03,2283,"30.39
","1010.68
","70.70
","0.00
","90
",,,,
2020-07-08 13:14:58 -03,2284,"30.44
","1010.68
","71.10
","0.00
","90
",,,,
2020-07-08 13:15:30 -03,2285,"30.48
","1010.71
","71.40
","0.00
","135
",,,,
2020-07-08 13:16:01 -03,2286,"30.47
","1010.66
","71.70
","0.00
","90
",,,,
2020-07-08 13:16:33 -03,2287,"30.48
","1010.66
","71.20
","0.00
","90
",,,,
2020-07-08 13:17:04 -03,2288,"30.50
","1010.64
","71.70
","0.00
","90
",,,,
2020-07-08 13:17:35 -03,2289,"30.47
","1010.67
","71.30
","0.00
","135
",,,,
2020-07-08 13:18:07 -03,2290,"30.44
","1010.66
","70.90
","0.00
","90
",,,,
2020-07-08 13:18:38 -03,2291,"30.42
","1010.69
","70.30
","0.00
","90
",,,,
2020-07-08 13:19:09 -03,2292,"30.39
","1010.63
","69.40
","0.00
","90
",,,,
2020-07-08 13:19:41 -03,2293,"30.39
","1010.59
","69.40
","0.00
","135
",,,,
2020-07-08 13:20:12 -03,2294,"30.40
","1010.60
","69.80
","0.00
","90
",,,,
2020-07-08 13:20:43 -03,2295,"30.35
","1010.59
","70.30
","0.00
","90
",,,,
2020-07-08 13:21:15 -03,2296,"30.34
","1010.59
","69.10
","0.00
","90
",,,,
2020-07-08 13:21:46 -03,2297,"30.37
","1010.59
","69.70
","0.00
","135
",,,,
2020-07-08 13:22:18 -03,2298,"30.38
","1010.53
","70.10
","0.00
","90
",,,,
2020-07-08 13:22:49 -03,2299,"30.42
","1010.58
","70.30
","0.00
","180
",,,,
2020-07-08 13:23:20 -03,2300,"30.42
","1010.57
","70.40
","0.00
","90
",,,,
2020-07-08 13:23:52 -03,2301,"30.39
","1010.54
","70.30
","0.00
","135
",,,,
2020-07-08 13:24:23 -03,2302,"30.38
","1010.53
","70.00
","1.48
","45
",,,,
2020-07-08 13:24:54 -03,2303,"30.39
","1010.56
","70.40
","0.00
","135
",,,,
2020-07-08 13:25:26 -03,2304,"30.41
","1010.59
","70.80
","0.00
","135
",,,,
2020-07-08 13:25:57 -03,2305,"30.42
","1010.56
","70.90
","0.00
","90
",,,,
2020-07-08 13:26:29 -03,2306,"30.47
","1010.54
","70.90
","0.00
","180
",,,,
2020-07-08 13:27:00 -03,2307,"30.47
","1010.57
","71.20
","0.00
","90
",,,,
2020-07-08 13:27:31 -03,2308,"30.44
","1010.56
","71.20
","0.00
","90
",,,,
2020-07-08 13:28:03 -03,2309,"30.38
","1010.58
","71.00
","0.00
","45
",,,,
2020-07-08 13:28:34 -03,2310,"30.37
","1010.55
","70.50
","0.00
","90
",,,,
2020-07-08 13:29:05 -03,2311,"30.33
","1010.52
","70.20
","0.00
","135
",,,,
2020-07-08 13:29:37 -03,2312,"30.33
","1010.50
","70.00
","0.00
","180
",,,,
2020-07-08 13:30:08 -03,2313,"30.35
","1010.54
","70.20
","0.00
","90
",,,,
2020-07-08 13:30:40 -03,2314,"30.38
","1010.54
","70.30
","0.00
","135
",,,,
2020-07-08 13:31:11 -03,2315,"30.35
","1010.51
","70.60
","0.00
","135
",,,,
2020-07-08 13:31:42 -03,2316,"30.31
","1010.48
","69.80
","0.00
","90
",,,,
2020-07-08 13:32:14 -03,2317,"30.34
","1010.56
","69.80
","0.00
","90
",,,,
2020-07-08 13:32:45 -03,2318,"30.30
","1010.53
","70.30
","0.00
","90
",,,,
2020-07-08 13:33:16 -03,2319,"30.30
","1010.46
","69.80
","0.00
","90
",,,,
2020-07-08 13:33:48 -03,2320,"30.36
","1010.54
","70.40
","0.00
","135
",,,,
2020-07-08 13:34:19 -03,2321,"30.36
","1010.55
","71.00
","0.00
","90
",,,,
2020-07-08 13:34:50 -03,2322,"30.37
","1010.46
","70.60
","0.00
","135
",,,,
2020-07-08 13:35:22 -03,2323,"30.36
","1010.51
","70.10
","0.00
","90
",,,,
2020-07-08 13:35:53 -03,2324,"30.38
","1010.50
","70.20
","0.00
","135
",,,,
2020-07-08 13:36:25 -03,2325,"30.40
","1010.49
","70.00
","0.00
","45
",,,,
2020-07-08 13:36:56 -03,2326,"30.41
","1010.52
","70.10
","0.00
","90
",,,,
2020-07-08 13:37:27 -03,2327,"30.43
","1010.47
","70.00
","0.00
","90
",,,,
2020-07-08 13:37:59 -03,2328,"30.43
","1010.45
","70.30
","0.00
","135
",,,,
2020-07-08 13:38:30 -03,2329,"30.40
","1010.48
","70.40
","0.00
","135
",,,,
2020-07-08 13:39:01 -03,2330,"30.37
","1010.44
","70.30
","0.00
","135
",,,,
2020-07-08 13:39:33 -03,2331,"30.34
","1010.43
","69.90
","0.00
","90
",,,,
2020-07-08 13:40:04 -03,2332,"30.39
","1010.44
","69.80
","0.00
","90
",,,,
2020-07-08 13:40:36 -03,2333,"30.34
","1010.42
","70.10
","0.00
","90
",,,,
2020-07-08 13:41:07 -03,2334,"30.34
","1010.38
","69.70
","0.00
","135
",,,,
2020-07-08 13:41:38 -03,2335,"30.37
","1010.37
","70.10
","0.00
","135
",,,,
2020-07-08 13:42:10 -03,2336,"30.40
","1010.43
","70.40
","0.00
","90
",,,,
2020-07-08 13:42:41 -03,2337,"30.39
","1010.36
","70.50
","0.00
","90
",,,,
2020-07-08 13:43:12 -03,2338,"30.38
","1010.41
","70.30
","0.00
","90
",,,,
2020-07-08 13:43:44 -03,2339,"30.40
","1010.30
","70.10
","0.00
","135
",,,,
2020-07-08 13:44:15 -03,2340,"30.42
","1010.31
","70.20
","0.00
","135
",,,,
2020-07-08 13:44:47 -03,2341,"30.41
","1010.28
","70.00
","0.00
","0
",,,,
2020-07-08 13:45:18 -03,2342,"30.45
","1010.30
","70.30
","0.00
","90
",,,,
2020-07-08 13:45:49 -03,2343,"30.50
","1010.27
","70.90
","0.00
","90
",,,,
2020-07-08 13:46:21 -03,2344,"30.47
","1010.28
","71.00
","0.00
","90
",,,,
2020-07-08 13:46:52 -03,2345,"30.49
","1010.30
","70.30
","0.00
","135
",,,,
2020-07-08 13:47:23 -03,2346,"30.48
","1010.24
","70.20
","0.00
","90
",,,,
2020-07-08 13:47:55 -03,2347,"30.50
","1010.26
","69.70
","0.00
","135
",,,,
2020-07-08 13:48:26 -03,2348,"30.52
","1010.27
","70.20
","0.00
","135
",,,,
2020-07-08 13:48:57 -03,2349,"30.54
","1010.25
","70.50
","0.00
","90
",,,,
2020-07-08 13:49:29 -03,2350,"30.53
","1010.25
","70.40
","0.00
","135
",,,,
2020-07-08 13:50:00 -03,2351,"30.49
","1010.27
","70.20
","0.00
","135
",,,,
2020-07-08 13:50:32 -03,2352,"30.48
","1010.26
","69.90
","0.00
","135
",,,,
2020-07-08 13:51:03 -03,2353,"30.48
","1010.24
","69.80
","0.00
","135
",,,,
2020-07-08 13:51:34 -03,2354,"30.44
","1010.19
","69.50
","0.00
","135
",,,,
2020-07-08 13:52:06 -03,2355,"30.41
","1010.18
","69.30
","0.00
","90
",,,,
2020-07-08 13:52:37 -03,2356,"30.35
","1010.17
","69.40
","0.00
","90
",,,,
2020-07-08 13:53:08 -03,2357,"30.36
","1010.18
","69.40
","0.00
","135
",,,,
2020-07-08 13:53:40 -03,2358,"30.38
","1010.15
","69.50
","0.00
","135
",,,,
2020-07-08 13:54:11 -03,2359,"30.42
","1010.26
","69.90
","0.00
","135
",,,,
2020-07-08 13:54:43 -03,2360,"30.48
","1010.23
","70.40
","0.00
","135
",,,,
2020-07-08 13:55:14 -03,2361,"30.51
","1010.20
","70.90
","0.00
","135
",,,,
2020-07-08 13:55:45 -03,2362,"30.45
","1010.18
","70.60
","0.00
","135
",,,,
2020-07-08 13:56:17 -03,2363,"30.44
","1010.19
","70.20
","0.00
","45
",,,,
2020-07-08 13:56:48 -03,2364,"30.45
","1010.22
","70.10
","0.00
","90
",,,,
2020-07-08 13:57:19 -03,2365,"30.47
","1010.23
","70.70
","0.00
","90
",,,,
2020-07-08 13:57:51 -03,2366,"30.45
","1010.22
","70.70
","0.00
","135
",,,,
2020-07-08 13:58:22 -03,2367,"30.47
","1010.20
","70.50
","0.00
","45
",,,,
2020-07-08 13:58:54 -03,2368,"30.46
","1010.24
","70.80
","0.00
","135
",,,,
2020-07-08 13:59:25 -03,2369,"30.45
","1010.26
","70.70
","0.00
","45
",,,,
2020-07-08 13:59:56 -03,2370,"30.41
","1010.24
","69.80
","0.00
","135
",,,,
2020-07-08 14:00:28 -03,2371,"30.32
","1010.15
","69.40
","0.00
","135
",,,,
2020-07-08 14:00:59 -03,2372,"30.35
","1010.18
","69.20
","0.00
","90
",,,,
2020-07-08 14:01:30 -03,2373,"30.37
","1010.18
","69.90
","0.00
","135
",,,,
2020-07-08 14:02:02 -03,2374,"30.39
","1010.21
","69.90
","0.00
","135
",,,,
2020-07-08 14:02:33 -03,2375,"30.38
","1010.21
","70.20
","0.00
","90
",,,,
2020-07-08 14:03:04 -03,2376,"30.42
","1010.24
","70.30
","0.00
","90
",,,,
2020-07-08 14:03:36 -03,2377,"30.42
","1010.23
","70.80
","0.00
","90
",,,,
2020-07-08 14:04:07 -03,2378,"30.44
","1010.22
","70.80
","0.00
","135
",,,,
2020-07-08 14:04:39 -03,2379,"30.45
","1010.23
","71.20
","0.00
","135
",,,,
2020-07-08 14:05:10 -03,2380,"30.42
","1010.20
","71.10
","0.00
","90
",,,,
2020-07-08 14:05:41 -03,2381,"30.41
","1010.15
","70.30
","0.00
","135
",,,,
2020-07-08 14:06:13 -03,2382,"30.38
","1010.20
","70.80
","0.00
","90
",,,,
2020-07-08 14:06:44 -03,2383,"30.36
","1010.19
","70.00
","0.00
","135
",,,,
